Year,Health Plan Type,Plan Name,Measure Name,Submeasure Name,Measure definition,Computed Value,State Average by Carrier Type (Stratified),Utah Average,National Average,Method,Measure ID,Data Element
2010,Commercial HMO,Altius,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,59.93,,59.62,70.49,Administrative,,
2010,Commercial HMO,SelectHealth,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,63.23,,59.62,70.49,Administrative,,
2010,Commercial HMO,United,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,55.71,,59.62,70.49,Administrative,,
2011,Commercial HMO,Altius,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,59.93,,59.62,70.49,Administrative,,
2011,Commercial HMO,SelectHealth,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,63.23,,59.62,70.49,Administrative,,
2011,Commercial HMO,United Healthcare,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,55.71,,59.62,70.49,Administrative,,
2012,Commercial HMO,Altius,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,62.02,,62.92,69.93,Administrative,,
2012,Commercial HMO,SelectHealth,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,63.82,,62.92,69.93,Administrative,,
2013,Commercial HMO,Altius,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,64.8,,65.05,69.86,Administrative,,
2013,Commercial HMO,SelectHealth,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,65.29,,65.05,69.86,Administrative,,
2014,Commercial HMO,Altius,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,68.71,,69.36,69.86,Administrative,,
2014,Commercial HMO,SelectHealth,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,70.01,,69.36,69.86,Administrative,,
2013,Commercial PPO,Aetna,Breast cancer screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,58.42,,59.17,66.52,Administrative,,
2013,Commercial PPO,CIGNA,Breast cancer screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,59.15,,59.17,66.52,Administrative,,
2013,Commercial PPO,Humana,Breast cancer screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,56.64,,59.17,66.52,Administrative,,
2013,Commercial PPO,Regence,Breast cancer screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,60.75,,59.17,66.52,Administrative,,
2013,Commercial PPO,United Healthcare,Breast cancer screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,60.88,,59.17,66.52,Administrative,,
2014,Commercial PPO,Aetna,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,61.79,,63.07,69.48,Administrative,,
2014,Commercial PPO,CIGNA,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,65.01,,63.07,69.48,Administrative,,
2014,Commercial PPO,EMI Health,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,64.81,,63.07,69.48,Administrative,,
2014,Commercial PPO,Humana,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,61.36,,63.07,69.48,Administrative,,
2014,Commercial PPO,Regence,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,62.32,,63.07,69.48,Administrative,,
2014,Commercial PPO,United Healthcare,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,63.12,,63.07,69.48,Administrative,,
2010,Medicaid,Healthy U,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,53.75,,50.94,52.31,Administrative,,
2010,Medicaid,Molina,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,48.14,,50.94,52.31,Administrative,,
2011,Medicaid,Healthy U,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,53.75,,50.94,52.31,Administrative,,
2011,Medicaid,Molina,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,48.14,,50.94,52.31,Administrative,,
2012,Medicaid,Healthy U,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,51.73,,51.62,50.43,Administrative,,
2012,Medicaid,Molina,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,51.5,,51.62,50.43,Administrative,,
2013,Medicaid,Healthy U,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,45.06,,46.96,51.82,Administrative,,
2013,Medicaid,Molina,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,48.86,,46.96,51.82,Administrative,,
2014,Medicaid,Healthy U,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,45.49,,45.77,57.88,Administrative,,
2014,Medicaid,Molina,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,46.05,,45.77,57.88,Administrative,,
2014,Medicaid,SelectHealth,Breast Cancer Screening,,Percentage of women (40 - 69 years of age) who had a mammogram to screen for breast cancer.,0,,45.77,57.88,Not Reportable,,
2010,Commercial HMO,Altius,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,70.35,,73.29,77.27,Administrative,,
2010,Commercial HMO,SelectHealth,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,74.7,,73.29,77.27,Administrative,,
2010,Commercial HMO,United,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,74.81,,73.29,77.27,Administrative,,
2011,Commercial HMO,Altius,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,70.35,,73.29,77.27,Administrative,,
2011,Commercial HMO,SelectHealth,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,74.7,,73.29,77.27,Administrative,,
2011,Commercial HMO,United Healthcare,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,74.81,,73.29,77.27,Administrative,,
2012,Commercial HMO,Altius,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,70.09,,72.23,76.49,Administrative,,
2012,Commercial HMO,SelectHealth,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,74.37,,72.23,76.49,Administrative,,
2013,Commercial HMO,Altius,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,69.72,,71.29,75.51,Administrative,,
2013,Commercial HMO,SelectHealth,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,72.85,,71.29,75.51,Administrative,,
2014,Commercial HMO,Altius,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,69.32,,73.08,75.51,Administrative,,
2014,Commercial HMO,SelectHealth,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,76.83,,73.08,75.51,Administrative,,
2013,Commercial PPO,Aetna,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,70.59,,68.66,73.61,Administrative,,
2013,Commercial PPO,CIGNA,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,69.29,,68.66,73.61,Administrative,,
2013,Commercial PPO,Humana,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,66.51,,68.66,73.61,Administrative,,
2013,Commercial PPO,Regence,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,66.8,,68.66,73.61,Administrative,,
2013,Commercial PPO,United Healthcare,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,70.1,,68.66,73.61,Administrative,,
2010,Medicaid,Healthy U,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,0,,,65.66,Not Reportable,,
2010,Medicaid,Molina,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,66.26,,,65.66,Administrative,,
2011,Medicaid,Healthy U,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,0,,,65.66,Not Reportable,,
2011,Medicaid,Molina,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,66.26,,,65.66,Administrative,,
2012,Medicaid,Healthy U,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,47.09,,58.58,66.72,Administrative,,
2012,Medicaid,Molina,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,70.07,,58.58,66.72,Admin+Chart Review,,
2013,Medicaid,Healthy U,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,45.33,,54.57,64.51,Administrative,,
2013,Medicaid,Molina,Cervical Cancer Screening,,Percentage of women (21 - 64 years of age) who received one or more Pap tests to screen for cervical cancer.,63.81,,54.57,64.51,Admin+Chart Review,,
2010,CHIP,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.83,,97.51,95.2,Administrative,,
2010,CHIP,PEHP,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.19,,97.51,95.2,Administrative,,
2011,CHIP,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.83,,97.51,95.2,Administrative,,
2011,CHIP,PEHP,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.19,,97.51,95.2,Administrative,,
2012,CHIP,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.2,,98.7,96.07,Administrative,,
2012,CHIP,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,99.2,,98.7,96.07,Administrative,,
2013,CHIP,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.69,,99.35,95.97,Administrative,,
2013,CHIP,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,100,,99.35,95.97,Administrative,,
2014,CHIP,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.89,,98.87,96.14,Administrative,,
2014,CHIP,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.85,,98.87,96.14,Administrative,,
2010,Commercial HMO,Altius,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.98,,98.06,97.59,Administrative,,
2010,Commercial HMO,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.6,,98.06,97.59,Administrative,,
2010,Commercial HMO,United,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.61,,98.06,97.59,Administrative,,
2011,Commercial HMO,Altius,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.98,,98.06,97.59,Administrative,,
2011,Commercial HMO,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.6,,98.06,97.59,Administrative,,
2011,Commercial HMO,United Healthcare,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.61,,98.06,97.59,Administrative,,
2012,Commercial HMO,Altius,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,95.15,,96.78,97.82,Administrative,,
2012,Commercial HMO,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.4,,96.78,97.82,Administrative,,
2013,Commercial HMO,Altius,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.48,,98.38,97.94,Administrative,,
2013,Commercial HMO,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.28,,98.38,97.94,Administrative,,
2014,Commercial HMO,Altius,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.95,,98.19,97.94,Administrative,,
2012,Commercial HMO,SelectHealth,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,59.31,,60.17,55.62,Admin+Chart Review,,
2014,Commercial HMO,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.42,,98.19,97.94,Administrative,,
2014,Commercial PPO,Aetna,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.08,,96.48,97.33,Administrative,,
2014,Commercial PPO,CIGNA,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,0,,96.48,97.33,Not Reported,,
2014,Commercial PPO,EMI Health,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,96.12,,96.48,97.33,Administrative,,
2014,Commercial PPO,Humana,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,95.23,,96.48,97.33,Administrative,,
2014,Commercial PPO,Regence,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,96.29,,96.48,97.33,Administrative,,
2014,Commercial PPO,United Healthcare,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,96.67,,96.48,97.33,Administrative,,
2010,Medicaid,Healthy U,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.3,,98.36,95.2,Administrative,,
2010,Medicaid,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.41,,98.36,95.2,Administrative,,
2011,Medicaid,Healthy U,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.3,,98.36,95.2,Administrative,,
2011,Medicaid,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,98.41,,98.36,95.2,Administrative,,
2012,Medicaid,Healthy U,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,95.92,,96.95,96.07,Administrative,,
2012,Medicaid,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.97,,96.95,96.07,Administrative,,
2013,Medicaid,Healthy U,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.02,,96.98,95.97,Administrative,,
2013,Medicaid,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,96.93,,96.98,95.97,Administrative,,
2014,Medicaid,Healthy U,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.12,,96.9,96.14,Administrative,,
2017,PPO,Aetna Health of Utah Inc.,CDC Comprehensive Diabetes Care,Rate - Poor HbA1c Control,,28.77,,,42.53,H,cdc,ratepoo
2014,Medicaid,Molina,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,96.39,,96.9,96.14,Administrative,,
2014,Medicaid,SelectHealth,Children 12-24 months old with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.2,,96.9,96.14,Administrative,,
2013,Commercial PPO,Aetna,Children 12-24 months with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.38,,96.43,97,Administrative,,
2013,Commercial PPO,CIGNA,Children 12-24 months with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,0,,96.43,97,Not Reportable,,
2013,Commercial PPO,Humana,Children 12-24 months with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,94.57,,96.43,97,Administrative,,
2013,Commercial PPO,Regence,Children 12-24 months with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,96.46,,96.43,97,Administrative,,
2013,Commercial PPO,United Healthcare,Children 12-24 months with a primary care visit,,Percentage of children (12 - 24 months of age) who had a visit with a primary care practitioner.,97.31,,96.43,97,Administrative,,
2010,CHIP,Molina,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,65.92,,59.71,59.3,Administrative,,
2010,CHIP,PEHP,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,53.49,,59.71,59.3,Administrative,,
2011,CHIP,Molina,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,65.92,,59.71,59.3,Administrative,,
2011,CHIP,PEHP,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,53.49,,59.71,59.3,Administrative,,
2012,CHIP,Molina,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,72.95,,72.32,61.75,Admin+Chart Review,,
2012,CHIP,SelectHealth,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,71.7,,72.33,61.75,Admin+Chart Review,,
2013,CHIP,Molina,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,72.95,,71.09,63.65,Admin+chart review,,
2013,CHIP,SelectHealth,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,69.23,,71.09,63.65,Administrative,,
2014,CHIP,Molina,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,68.57,,72.01,61.55,Admin+chart review,,
2014,CHIP,SelectHealth,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,75.45,,72.01,61.55,Admin+chart review,,
2010,Commercial HMO,Altius,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,66.67,,66.62,74.78,Administrative,,
2010,Commercial HMO,SelectHealth,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,70.85,,66.62,74.78,Administrative,,
2010,Commercial HMO,United,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,62.35,,66.62,74.78,Administrative,,
2011,Commercial HMO,Altius,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,66.67,,66.62,74.78,Administrative,,
2011,Commercial HMO,SelectHealth,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,70.85,,66.62,74.78,Administrative,,
2011,Commercial HMO,United Healthcare,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,62.35,,66.62,74.78,Administrative,,
2012,Commercial HMO,Altius,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,70.33,,72.57,78.19,Administrative,,
2012,Commercial HMO,SelectHealth,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,74.8,,72.57,78.19,Administrative,,
2013,Commercial HMO,Altius,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,71.07,,74.68,78.67,Administrative,,
2013,Commercial HMO,SelectHealth,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,78.28,,74.68,78.67,Administrative,,
2014,Commercial HMO,Altius,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,71.72,,75.65,78.67,Administrative,,
2014,Commercial PPO,Aetna,Colorectal cancer screening,,Percentage of members (51 - 80 years of age) who had appropriate screening for colorectal cancer.,56.62,,,56.53,Administrative,,
2014,Commercial HMO,SelectHealth,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,79.57,,75.65,78.67,Administrative,,
2013,Commercial PPO,Aetna,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,71.97,,62.24,76.36,Administrative,,
2013,Commercial PPO,CIGNA,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,0,,62.24,76.36,Not Reportable,,
2013,Commercial PPO,Humana,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,45.63,,62.24,76.36,Administrative,,
2013,Commercial PPO,Regence,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,69.11,,62.24,76.36,Administrative,,
2017,PPO,Aetna Health of Utah Inc.,CDC Comprehensive Diabetes Care,Rate - HbA1c Control (<8.0%),,59.43,,,46.62,H,cdc,rateade
2013,Commercial PPO,United Healthcare,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,,,62.24,76.36,Administrative,,
2014,Commercial PPO,Humana,Diabetics with cholesterol under 100,,The percentage of members with diabetes and  manageable cholesterol <100.,34.6,,30.37,40.79,Admin+Chart Review,,
2014,Commercial PPO,Aetna,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,74.67,,68.05,76.95,Administrative,,
2014,Commercial PPO,CIGNA,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,0,,68.05,76.95,Not Reported,,
2014,Commercial PPO,EMI Health,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,77.69,,68.05,76.95,Administrative,,
2014,Commercial PPO,Humana,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,55.37,,68.05,76.95,Administrative,,
2014,Commercial PPO,Regence,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,71.61,,68.05,76.95,Administrative,,
2014,Commercial PPO,United Healthcare,Children 15 months with 6+ well-child visits,,Percentage of children (less than 15 months old) that received at least six or more well-child visits.,60.92,,68.05,76.95,Administrative,,
